1,1,1,2024-01-15,2024-01-18,450.00
2,2,2,2024-01-20,2024-01-22,300.00
3,3,3,2024-02-10,2024-02-15,800.00
4,1,7,2024-02-20,2024-02-23,600.00
5,4,1,2024-03-05,2024-03-07,400.00
6,5,5,2024-03-10,2024-03-14,900.00
7,2,4,2024-03-15,2024-03-17,250.00
8,6,9,2024-04-01,2024-04-05,1000.00
9,7,2,2024-04-10,2024-04-12,280.00
10,8,6,2024-04-15,2024-04-18,350.00
11,3,3,2024-05-01,2024-05-06,950.00
12,9,1,2024-05-10,2024-05-13,500.00
13,1,7,2024-05-20,2024-05-25,800.00
14,10,8,2024-06-01,2024-06-03,200.00
15,4,5,2024-06-10,2024-06-15,850.00
